name,tweet text,tweet text (clean),label,token
🇮🇩 MARQUEZ 🇮🇩,@doktrinplasu Lha Teroris di tuntut 8 th nanti jatuh nya 2 th Muhammad Kace di tuntut 10 th penistaan agama gimana ya hukum di negeri ini.,doktrinplasu lah teroris di tuntut tahu ti jatuh nya tahu muhammad kace di tuntut tahu penistaan agama bagaimana ya hukum di negeri ini,0,"['doktrinplasu', 'lah', 'teroris', 'di', 'tuntut', 'tahu', 'ti', 'jatuh', 'nya', 'tahu', 'muhammad', 'kace', 'di', 'tuntut', 'tahu', 'penistaan', 'agama', 'bagaimana', 'ya', 'hukum', 'di', 'negeri', 'ini']"
Rusnadi,"@ChaChaQer @NovalAssegaf Yg mana disebut radikal dan yg mana disebut teroris?blm prnh sy lht,sy melht hanya mnglhkan isu atas keggln pmrnth menangani korupsi tmbh subur,semua smbko mahal dan migor langka,bbm mahal.
Rakyat skrng menjerit,sdh lpngn kerja sempit,pengangguran n kemiskinan meroket nmbh bnyk.",chachaqer novalassegaf yang mana disebut radikal dan yang mana disebut teroris belum pernah saya lihat saya melht hanya mnglhkan isu atas keggln pmrnth megani korupsi tambah subur semua smbko mahal dan migor langka bbm mahal rakyat sekarang menjerit sudah lpngn kerja sempit pengangguran n kemiski meroket nmbh banyak,0,"['chachaqer', 'novalassegaf', 'yang', 'mana', 'disebut', 'radikal', 'dan', 'yang', 'mana', 'disebut', 'teroris', 'belum', 'pernah', 'saya', 'lihat', 'saya', 'melht', 'hanya', 'mnglhkan', 'isu', 'atas', 'keggln', 'pmrnth', 'megani', 'korupsi', 'tambah', 'subur', 'semua', 'smbko', 'mahal', 'dan', 'migor', 'langka', 'bbm', 'mahal', 'rakyat', 'sekarang', 'menjerit', 'sudah', 'lpngn', 'kerja', 'sempit', 'pengangguran', 'n', 'kemiski', 'meroket', 'nmbh', 'banyak']"
erroy,"@maspiyuaja Sebelum  ditangkap  kirimin surat  dulu... tanyain  anda  teroris  bukan...
Kl  teroris  kasih peringatan  1  - 3,   himbau, bujuk,  spy   berhenti  jd  teroris.

Kl bukan  teroris  ya  jan ditangkap.. 

Ini  contoh  Densus  dlm  film  India  kaleee....

Ha... 72 x",maspiyuaja sebelum ditangkap mengirimi surat dulu tanyakan anda teroris bukan kalo teroris kasih peringatan himbau bujuk supaya berhenti jadi teroris kalo bukan teroris ya jangan ditangkap ini contoh densus dalam film india kali ha kali,0,"['maspiyuaja', 'sebelum', 'ditangkap', 'mengirimi', 'surat', 'dulu', 'tanyakan', 'anda', 'teroris', 'bukan', 'kalo', 'teroris', 'kasih', 'peringatan', 'himbau', 'bujuk', 'supaya', 'berhenti', 'jadi', 'teroris', 'kalo', 'bukan', 'teroris', 'ya', 'jangan', 'ditangkap', 'ini', 'contoh', 'densus', 'dalam', 'film', 'india', 'kali', 'ha', 'kali']"
Lingga Yudhistira,"semua pesantren? 🤔 maaf Pdt., bisa dibuktikan klo semua pesantren menghasilkan teroris? smtra ente minta ke Gus Menag yg notabene anak slh1 pengelola Ponpes lho. gak malu klo tanpa data?? plis jgn asal cuap² demi polularitas ya 🙏 https://t.co/oGVX8DpmCF",semua pesantren wajah berpikir maaf pdt bisa dibuktikan kalo semua pesantren menghasilkan teroris smtra ente meminta ke gus menag yang notabene anak slh pengelola ponpes lho enggak malu kalo tanpa data plis jangan asal cuap² demi polularitas ya melipat tangan https t cowok ogvx dpmcf,0,"['semua', 'pesantren', 'wajah', 'berpikir', 'maaf', 'pdt', 'bisa', 'dibuktikan', 'kalo', 'semua', 'pesantren', 'menghasilkan', 'teroris', 'smtra', 'ente', 'meminta', 'ke', 'gus', 'menag', 'yang', 'notabene', 'anak', 'slh', 'pengelola', 'ponpes', 'lho', 'enggak', 'malu', 'kalo', 'tanpa', 'data', 'plis', 'jangan', 'asal', 'cuap', '²', 'demi', 'polularitas', 'ya', 'melipat', 'tangan', 'https', 't', 'cowok', 'ogvx', 'dpmcf']"
Komandan Bajer 🤪,"@republikaonline Proyek islamophobia masih berlanjut? 
Radikal radikul, teroris. 
Energi bangsa ini habis buat komoditas politik, pengalihan isu, dan ego dengki kelompok tertentu.",republikaonline proyek islamophobia masih berlanjut radikal radikul teroris energi bangsa ini habis buat komoditas politik pengalihan isu dan ego dengki kelompok tertentu,0,"['republikaonline', 'proyek', 'islamophobia', 'masih', 'berlanjut', 'radikal', 'radikul', 'teroris', 'energi', 'bangsa', 'ini', 'habis', 'buat', 'komoditas', 'politik', 'pengalihan', 'isu', 'dan', 'ego', 'dengki', 'kelompok', 'tertentu']"
Rizmaya,"Mau heran, tapi ini Hukum di INDONESIA. Dan akhirnya TERSANGKA Teroris pun tersenyum lega.

Miris.! HukumDiNegeriDagelan

https://t.co/vP6QIdcL61 https://t.co/GYTciw5wlE",mau heran tapi ini hukum di indonesia dan akhirnya tersangka teroris pun tersenyum lega miris hukumdinegeridagelan https t cowok vp qidcl https t cowok gytciw wle,0,"['mau', 'heran', 'tapi', 'ini', 'hukum', 'di', 'indonesia', 'dan', 'akhirnya', 'tersangka', 'teroris', 'pun', 'tersenyum', 'lega', 'miris', 'hukumdinegeridagelan', 'https', 't', 'cowok', 'vp', 'qidcl', 'https', 't', 'cowok', 'gytciw', 'wle']"
Blackco Tanya,Hukum mati teroris bangsat di bumi indonesia https://t.co/6hWnfZPFlK,hukum mati teroris bangsat di bumi indonesia https t cowok hwnfzpflk,0,"['hukum', 'mati', 'teroris', 'bangsat', 'di', 'bumi', 'indonesia', 'https', 't', 'cowok', 'hwnfzpflk']"
IG: WarungSejarahRI,"Inside The Jihad; Teroris Atau Tentara Tuhan?.

Oleh; Omar Nasiri.

Tahun 2007
568 Halaman.
Hardcover

Harga 125.000. 
Minat? 

Cara Order silakan 
‌DM atau klik link WA https://t.co/bSBuqUJdLQ https://t.co/8kxTwvVy8R",inside the jihad teroris atau tentara tuhan oleh omar nasiri tahun halaman hardcover harga minat cara order silakan dm atau klik link wa https t cowok bsbuqujdlq https t cowok kxtwvvy r,0,"['inside', 'the', 'jihad', 'teroris', 'atau', 'tentara', 'tuhan', 'oleh', 'omar', 'nasiri', 'tahun', 'halaman', 'hardcover', 'harga', 'minat', 'cara', 'order', 'silakan', 'dm', 'atau', 'klik', 'link', 'wa', 'https', 't', 'cowok', 'bsbuqujdlq', 'https', 't', 'cowok', 'kxtwvvy', 'r']"
Misaki,@democrazymedia Memangnya bisa direvisi? Dasar manusia.   Pesantren tempat cari ilmu . Bukan yg dituduhkan teroris.. biadab gak,democrazymedia memangnya bisa direvisi dasar manusia pesantren tempat cari ilmu bukan yang dituduhkan teroris biadab enggak,0,"['democrazymedia', 'memangnya', 'bisa', 'direvisi', 'dasar', 'manusia', 'pesantren', 'tempat', 'cari', 'ilmu', 'bukan', 'yang', 'dituduhkan', 'teroris', 'biadab', 'enggak']"
IG: WarungSejarahRI,"Inside The Jihad; Teroris Atau Tentara Tuhan?.

Oleh; Omar Nasiri.

Tahun 2007
568 Halaman.
Hardcover

Harga 125.000. 
Minat? 

Cara Order silakan 
‌DM atau klik link WA https://t.co/bSBuqUJdLQ https://t.co/6cSg1QZRBW",inside the jihad teroris atau tentara tuhan oleh omar nasiri tahun halaman hardcover harga minat cara order silakan dm atau klik link wa https t cowok bsbuqujdlq https t cowok csg qzrbw,0,"['inside', 'the', 'jihad', 'teroris', 'atau', 'tentara', 'tuhan', 'oleh', 'omar', 'nasiri', 'tahun', 'halaman', 'hardcover', 'harga', 'minat', 'cara', 'order', 'silakan', 'dm', 'atau', 'klik', 'link', 'wa', 'https', 't', 'cowok', 'bsbuqujdlq', 'https', 't', 'cowok', 'csg', 'qzrbw']"
✩Bebeb Bubu🍭,"Munarman malah ketawa saat dituntut 8 tahun penjara. Sumpelin sendal lambemu !! 
.
.
Bangga jadi teroris yg gak dituntut hukuman mati ya? https://t.co/tnWp1ObCwG",munarman malah ketawa saat dituntut tahun penjara sumpelin sendal lambemu bangga jadi teroris yang enggak dituntut hukuman mati ya https t cowok tnwp obcwg,0,"['munarman', 'malah', 'ketawa', 'saat', 'dituntut', 'tahun', 'penjara', 'sumpelin', 'sendal', 'lambemu', 'bangga', 'jadi', 'teroris', 'yang', 'enggak', 'dituntut', 'hukuman', 'mati', 'ya', 'https', 't', 'cowok', 'tnwp', 'obcwg']"
drien,@masdeni73 @RudyFarthuack @DivHumas_Polri Berarti hak imunitas berlaku utk kejahatan apapun yah? Termasuk kejahatan teroris?,masdeni rudyfarthuack divhumas polri berarti hak imunitas berlaku untuk kejahatan apapun ya termasuk kejahatan teroris,1,"['masdeni', 'rudyfarthuack', 'divhumas', 'polri', 'berarti', 'hak', 'imunitas', 'berlaku', 'untuk', 'kejahatan', 'apapun', 'ya', 'termasuk', 'kejahatan', 'teroris']"
komentator,"@republikaonline wah, semua pesantren menghasilkan teroris. menarique. pdhl byk lulusan pesantren di negeri ini. bahkan ada yg pernah jadi presiden.",republikaonline wah semua pesantren menghasilkan teroris menarique padahal banyak lulusan pesantren di negeri ini bahkan ada yang pernah jadi presiden,0,"['republikaonline', 'wah', 'semua', 'pesantren', 'menghasilkan', 'teroris', 'menarique', 'padahal', 'banyak', 'lulusan', 'pesantren', 'di', 'negeri', 'ini', 'bahkan', 'ada', 'yang', 'pernah', 'jadi', 'presiden']"
Harlan,"@RD_4WR1212 Hakim bangsat ,  itu gembong teroris SETAN.....
LOE SEMUA HAKIM PEKOK BELOM PERNAH NGALAMIN KELUARGA MU KENA BOM TERORIS YAH....
MANUSIA BIADAB ......",rd wr hakim bangsat itu gembong teroris setan lo semua hakim pekok belum pernah ngalamin keluarga mu kena bom teroris ya manusia biadab,0,"['rd', 'wr', 'hakim', 'bangsat', 'itu', 'gembong', 'teroris', 'setan', 'lo', 'semua', 'hakim', 'pekok', 'belum', 'pernah', 'ngalamin', 'keluarga', 'mu', 'kena', 'bom', 'teroris', 'ya', 'manusia', 'biadab']"
sri wulandari🇮🇩☘️,@NKRI_jokowisyoo Ngeleki2 agama Islam kalau kita diluar negeri pakai kerudung kita dikira teroris 😁😁😁,nkri jokowisyo ngeleki agama islam kalau kita diluar negeri pakai kerudung kita dikira teroris wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia,0,"['nkri', 'jokowisyo', 'ngeleki', 'agama', 'islam', 'kalau', 'kita', 'diluar', 'negeri', 'pakai', 'kerudung', 'kita', 'dikira', 'teroris', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia', 'wajah', 'gembira', 'dengan', 'mata', 'bahagia']"
Memorysongs1 😘,"@MrsRachelIn @KomnasHAM  jangan belain segelintir teroris tapi mengabaikan korban2 tak berdosa 
Payahhh ah 👎",mrsrachelin komnasham jangan membela segelintir teroris tapi mengabaikan korban tak berdosa payah ah jempol ke bawah,0,"['mrsrachelin', 'komnasham', 'jangan', 'membela', 'segelintir', 'teroris', 'tapi', 'mengabaikan', 'korban', 'tak', 'berdosa', 'payah', 'ah', 'jempol', 'ke', 'bawah']"
